last_name, first_name,player_id,year,player_age,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_foul,b_foul_tip,b_game,woba,wobacon,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count,iz_contact_percent,whiff_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,
Kennedy, Buddy,671083,2022,23,94,18,13,2,2,1,23,8,24.5,8.5,.217,.325,.287,.613,.108,55,2,30,.271,.311,88.6,13,1,1.6,32.3,61.1,17.8,18.2,35.5,64.5,46.8,71.9,8.8,363,82.2,21.5,43.5,25.8,25.8,4.8,
Casas, Triston,671213,2022,22,95,15,9,1,0,5,23,19,24.2,20.0,.197,.408,.358,.766,.211,61,2,27,.344,.369,86,2.2,4,7.5,41.5,60.8,19.5,17.4,47.4,52.6,52.9,75,5.8,412,79.7,26.3,56.6,28.3,13.2,1.9,
Ramos, Heliot,671218,2022,22,22,2,2,0,0,0,6,2,27.3,9.1,.100,.100,.182,.282,.000,10,1,9,.143,.126,87.4,1.7,1,7.1,42.9,71.1,33.3,35.9,57.1,42.9,50.6,50,2.6,77,66.7,41.5,64.3,14.3,14.3,7.1,
Waters, Drew,671221,2022,23,109,23,11,6,1,5,40,12,36.7,11.0,.240,.479,.321,.800,.240,81,8,32,.347,.522,84.1,10.4,7,12.5,28.6,69.9,24,25.9,53.4,46.6,51.7,85.7,6.5,433,75.3,32.4,48.2,28.6,21.4,1.8,
Garcia, Luis,671277,2022,22,377,99,67,23,2,7,84,11,22.3,2.9,.275,.408,.294,.703,.133,233,13,93,.303,.378,87.3,5.5,21,7.5,36.7,67.6,19.1,40.8,38.9,60.8,52.5,78.8,6.4,1323,80.5,27,52.7,20.3,25.6,1.4,
Freeman, Tyler,671289,2022,23,86,19,16,3,0,0,11,4,12.8,4.7,.247,.286,.314,.600,.039,73,6,24,.274,.268,85.9,10.3,1,1.5,26.9,70.7,11.7,33.7,30.6,69.4,54,75,8.2,341,87.4,18.5,52.2,17.9,19.4,10.4,
Harris II, Michael,671739,2022,21,441,123,74,27,3,19,107,21,24.3,4.8,.297,.514,.338,.852,.217,312,15,114,.368,.468,89.5,4.5,31,10.1,45.1,67.2,15.7,39,47.5,52.5,52.5,80.5,7.1,1655,83.7,28.1,55.8,17.9,22.4,3.9,
Siani, Michael,672279,2022,22,24,4,4,0,0,0,7,0,29.2,0.0,.167,.167,.167,.333,.000,16,2,9,.147,.208,81,30.7,0,0,23.5,66.7,20.6,21.3,40,60,48,88.9,9.2,98,79.4,25,17.6,5.9,29.4,47.1,
Kelenic, Jarred,672284,2022,22,181,23,10,5,1,7,61,16,33.7,8.8,.141,.313,.221,.534,.172,122,10,54,.238,.303,86,18,14,13.6,35,67.4,27,28.2,49.5,50.5,48.2,76.1,6.6,699,72.5,33.3,36.9,31.1,16.5,15.5,
Arias, Gabriel,672356,2022,22,57,9,6,1,1,1,16,8,28.1,14.0,.191,.319,.316,.635,.128,30,3,16,.294,.330,88.8,-0.6,2,6.3,34.4,60.9,26.9,24.8,56.7,43.3,52.4,56.3,6.9,231,73.1,36.1,71.9,3.1,18.8,6.3,
Kirk, Alejandro,672386,2022,23,541,134,101,19,0,14,58,63,10.7,11.6,.285,.415,.372,.786,.130,346,11,139,.347,.342,90.5,8.1,28,6.7,45.4,59.6,10.5,23.3,27.3,72.7,51.4,70.4,6.9,2200,89.5,15.4,50,20.4,24.5,5,
Diaz, Jordan,672478,2022,21,51,13,10,3,0,0,7,2,13.7,3.9,.265,.327,.294,.621,.061,40,2,15,.275,.301,86.9,-4.8,0,0,31,85.6,15.7,30.8,40,60,40.1,91.7,7.4,162,84.3,20.4,66.7,7.1,23.8,2.4,
Moreno, Gabriel,672515,2022,22,73,22,20,1,0,1,8,4,11.0,5.5,.319,.377,.356,.733,.058,41,1,25,.326,.344,89.2,5.9,2,3.3,32.8,61.5,13.2,30.8,36.1,63.9,44.2,72,9.4,265,86.8,19.7,55.7,14.8,24.6,4.9,
Garcia, Maikel,672580,2022,22,23,7,6,1,0,0,5,1,21.7,4.3,.318,.364,.348,.711,.045,16,1,9,.315,.386,85.9,3.3,0,0,29.4,63.6,10.7,22.4,27.3,72.7,52.7,66.7,3.2,93,89.3,15.4,52.9,5.9,29.4,11.8,
Lopez, Otto,672640,2022,23,10,6,6,0,0,0,1,1,10.0,10.0,.667,.667,.700,1.367,.000,5,1,8,.599,.663,85.5,4.2,0,0,37.5,58.8,0,21.1,25,75,52.8,100,13.9,36,100,7.1,50,12.5,37.5,0,
Perdomo, Geraldo,672695,2022,22,500,84,67,10,2,5,103,50,20.6,10.0,.195,.262,.278,.540,.067,329,11,148,.253,.259,85,12.1,7,2,25.1,59.6,13.3,21.5,33.5,64.2,47.9,71.4,8.2,2061,83.7,18.3,50.6,19.9,21.1,8.5,
Peraza, Oswald,672724,2022,22,57,15,11,3,0,1,9,6,15.8,10.5,.306,.429,.404,.832,.122,25,1,18,.371,.389,81.6,5.4,2,5,30,75.3,9.8,22.8,44.4,55.6,49.4,93.8,10,160,90.2,17.7,57.5,15,17.5,10,
Marcano, Tucupita,672779,2022,22,177,33,23,6,2,2,44,10,24.9,5.6,.206,.306,.249,.555,.100,117,4,49,.249,.301,84.7,11.1,2,1.6,17.2,64.3,11.4,25.6,46.9,50.6,47,71.1,6.7,672,86.5,20.6,47.5,23.8,20.5,8.2,
Sosa, Lenyn,672820,2022,22,36,4,2,1,0,1,12,1,33.3,2.8,.114,.229,.139,.367,.114,37,1,11,.161,.222,86.6,5.7,2,8.7,26.1,68.5,16,50.8,43.8,56.3,46.3,66.7,8.8,136,84,26.8,56.5,30.4,8.7,4.3,
Pineda, Israel,672832,2022,22,14,1,1,0,0,0,7,1,50.0,7.1,.077,.077,.143,.220,.000,9,3,4,.112,.147,88.9,7.2,0,0,16.7,70.4,26.3,50,87.5,12.5,37.2,75,9.3,43,73.7,44.4,50,16.7,33.3,0,
Robert Jr., Luis,673357,2022,24,401,108,78,18,0,12,77,17,19.2,4.2,.284,.426,.319,.746,.142,300,19,98,.324,.383,89.3,10,27,8.9,42.8,83.6,17.3,43.2,42.9,57.1,54.8,90.7,5.6,1349,82.7,27.1,45.1,23,26.3,5.6,
Kim, Ha-Seong,673490,2022,26,582,130,87,29,3,11,100,51,17.2,8.8,.251,.383,.323,.706,.132,399,24,150,.313,.335,86.7,16.1,18,4.2,32.4,60.4,14.1,24.9,32.3,66.7,48.1,71.9,8.3,2359,85.8,19.1,40.8,22.9,25.9,10.4,
Suzuki, Seiya,673548,2022,27,446,104,66,22,2,14,110,42,24.7,9.4,.262,.433,.336,.770,.171,274,15,111,.334,.408,89.6,11.2,32,11,41.3,56.8,15.9,21.3,41.6,58.4,49.8,66.2,7,1876,84.1,22.8,40.7,25.5,27.2,6.6,
Jung, Josh,673962,2022,24,102,20,10,4,1,5,39,4,38.2,3.9,.204,.418,.235,.654,.214,69,5,26,.280,.438,85.5,14.3,6,10.2,32.2,61.9,19.6,34.3,47.9,52.1,54.1,68.8,8.1,394,80.4,30.8,42.4,25.4,25.4,6.8,
Smith, Kevin,675656,2022,25,151,25,13,9,1,2,42,7,27.8,4.6,.180,.302,.212,.514,.122,102,7,47,.226,.289,87,16.4,8,7.8,33.3,70.7,20,35.2,50.5,48.5,49.8,68.2,7.8,564,78,30.1,43.1,32.4,16.7,7.8,
Velazquez, Nelson,676369,2022,23,206,38,22,7,3,6,65,19,31.6,9.2,.205,.373,.286,.659,.168,122,5,77,.291,.379,89.2,12.3,16,13.3,43.6,74.2,28.7,23.6,59.6,40.4,52.8,87.3,6.9,810,70.3,36.2,43.3,29.2,20,7.5,
Clement, Ernie,676391,2022,26,179,30,26,4,0,0,26,11,14.5,6.1,.184,.209,.240,.449,.025,121,7,69,.209,.203,85,11.8,5,3.6,25.7,63.4,13.1,34.9,21.7,78.3,48.3,56.3,7.6,629,86.4,16,47.1,28.6,18.6,5.7,
Burleson, Alec,676475,2022,23,53,9,7,1,0,1,9,5,17.0,9.4,.188,.271,.264,.535,.083,33,2,16,.245,.244,91.7,4,4,10.3,48.7,78.8,17.9,28.6,40,60,55.3,92.9,7.4,190,80.6,24.7,48.7,23.1,25.6,2.6,
Barrero, Jose ,676480,2022,24,174,25,20,3,0,2,76,9,43.7,5.2,.152,.206,.195,.401,.055,147,11,48,.183,.288,87.5,17.7,2,2.2,35.2,76.1,21.7,40.2,64.3,34.3,53.5,77.8,8.1,679,77.4,38.5,40.4,29.2,21.3,9,
Bannon, Rylan,676625,2022,26,15,2,2,0,0,0,5,0,33.3,0.0,.143,.143,.200,.343,.000,9,1,5,.166,.196,88.7,0.9,0,0,44.4,69.7,26.1,20.8,80,20,42.1,100,5.3,57,73.9,35.7,55.6,33.3,11.1,0,
